description,COMMODITY_LEAF_PREDICTED
FLEX FS-5020EG 4-HOLE FLAT CORNER PLATE FITTING GALVANIZED,899752
CPP 1-1/4 COND 90 ELBOW ALUM 20/BX 22041300,899866
ARL 8100MLP SUPER MEGA PLATE 1/BX 10/CS,899752
DIN RAIL 406A-1211 14IN 1.5MM ,899752
DIN RAIL 406A-1207 1.5MM 12-790452-09,899915
DIN RAIL 406A-1205 7IN 1.5MM,899752
DIN RAIL 406A-1203 5IN 1.5MM,899752
IDEAL 36-308 1-3/4 CRBD HL CUTTER 1/BX 1/CS,900033
"BOLT BE4301 1/2"" UNIVERSAL PIPE CLAMP FS-1300-1/2EG",899877
"FLEX FS-1000-1-1/4EG 1-1/4"" EMT PIPE CLAMP",899877
"FLEX FS-1000-2EG 2"" EMT PIPE CLAMP",899877
STRUT 4-HOLE SPLICE PLATE GREEN IN COLOR FS-5009GR B341GRN,899877
CPP 1/2 X 16 COND NIP GAL,899929
FTG LC200CG 2IN AL C W CVR&GSK 1/BX 5/CS,899752
FTG LC250CG 2 1/2 IN AL C W CVR&GSK 1/CS,899752
MAGNUM NDN63-WH ,898872
BUR YS36A1 600MCM BUTT SPLICE,899816
WIRE THHN 10 GRN-W/YEL TRACER 2500',899956
"UNIS HHCS050200EG#5 1/2"" X 2"" HEX HEAD CAP SCREW GRADE 5 ZINC PLATED FULL THREAD",899859
"UNIS HHXN050EG#5 1/2"" HEX NUT GRADE 5 ZINC PLATED",899859
JUNO IC20 HOUSING UNIV RND IC,898859
FLEX FS-5022EG FLAT T FITTING ELECTRO-GALVANIZED FINISH,899859
"FLEX FS-7370PG 1-5/8"" X 1-3/8"" X 20' 12 GAUGE FOAM FILLED CONCRETE INSERT GALVANIZED FINISH *** SOLD BY THE 20' PIECE ***",899859
"FLEX FS-5933EG  CONCRETE INSERT END CAP FOR 16"" TO 20' PCS. GALVANIZED FINISH",899752
ERC FXC20 MC/AC CABLE CLIP 100/BX,899878
JUNO T24NBL ADJ 90 DEG OR STRAIGHT CONN BLK,898859
T&B 3110-TB 3/8 INS S/SCR FLEX CONN 50/BX 500/CS,899869
SAT S3745 40W CAND 120V CLR LMP 120/CS  03745 **DISCONTINUED** DELISTED NO REPLACEMENT,898891
MLY QTS1504T 1500W 240 TOE SPC HTR TOE SPACE HEATER 1/BX,899752
BOLT BELEDR5HO/W WHITE LED 2HEAD EMERGENCY W REMOTE CAPACITY 120/277V (USES RHLED1-WP-R1 HEADS),899878
WIRE SER-3/0-3/0-3/0-1/0-AL-1000 MSTR,899752
WIRE 2GA BARE TINNED SOLID COPPER,899958
C-H H2111B-3 HTR ELEMENT PAK3 *** 1PK = 3 HEATERS ***,899801
SAT S6022 FDL28LE/D 27/2800K FLUOR 40/CS  06022,898885
BOLT BELEDR-1B BLACK 2 HEAD LED EMERGENCY LIGHT,899878
CABLE 12/2 MC AL RED/WHT 1000R,899951
FTG FSLN-4 1/2IN SEALING LOCKNUT 100/BX 1000/CS,899830
FTG FSLN-5 3/4 SEALING LOCKNUT 100/BX 1000/CS,899830
FTG FSLN-6 1IN SEALING LOCKNUT 100/BX 1000/CS,899830
FTG FSLN-9 2IN SEALING LOCKNUT 25/BX 250/CS,899867
FTG FSLN-13 4IN SEALING LOCKNUT 25/BX 125/CS,899752
"FLEX FS-202GR20  1 5/8"" X 3 1/4"" X 20' SIDE TO SIDE CHANNEL SOLID GREEN FINISH 12 GA. DOUBLE CHANNEL",899735
APP LB125-M 1-1/4 MALL LB COND BODY CS/1,899883
WIRE THHN-2/0-RED-19STR-CU-1000MSTR,899956
C-H FD3020 20A 3P CKT BRKR,900017
"UNIS HFEW025SS  1/4"" X 1"" FENDER WASHER STAINLESS STEEL",899859
BUR AYP250 250 TERMINATION PLUG,901219
C-H GBK14 14 CIRCUIT GROUND BAR,899778
"TECH BRITE R854T81BCNT00P0 PREWIRED 8' STRP RETRO KIT 4L T8 5"" BSLT CV INCLUDING: 2 BALLAST COVERS 1 GE PROLINE ISN BALLAST/SOCKETS 1 SET OF SCREWS (8 SCREWS) 1 SET OF TURNS (4 TURNS)",898828
IDEAL 36-309 2IN CRBD HL CUTTER 1/BX 1/CS,900033
BOLT BE4628EG 5H FLAT X PLATE FITTING ELECTRO-GALVANIZED 25/CTN,899859
FTG LB400CG 4 IN ALUM LB W/CVR&GSK 1/CS,899883
FTG MLB50CG 1/2 MAL LB W/ CVR&GSK 10/CS,899883
FTG MLB250CG 2 1/2IN MAL LB W/CVR&GSK 2/CS,899883
FTG MLB300CG 3IN MAL LB W/CVR&GSK /BX 1/CS,899883
FTG LC50CG 1/2IN AL C W CVR&GSK 10/BX 50/CS,899752
FTG LC75CG 3/4IN AL C W CVR&GSK 5/BX 25/CS,899752
FTG LC100CG 1IN AL C W CVR&GSKT 5/BX 25/CS,899752
FTG LC125CG 1 1/4IN AL C W CVR&GSK 2/BX 10/CS,899752
FTG LC150CG 1 1/2 IN AL C W CVR&GSK 2/BX 10/CS,899752
FTG LC300CG 3 IN AL C W CVR&GSK 1/CS,899752
FTG LC350CG 3 1/2 IN AL C W CVR&GSK 1/CS,899752
FTG LC400CG 4 IN AL C W CVR&GSK 1/CS,899752
FTG MLC125CG 1 1/4IN MAL C  W/CVR&GSK 10/CS,899752
FTG MLC200CG 2IN MAL C W/CVR&GSK 5/CS,899752
FTG MLC300CG 3IN MAL C W/CVR&GSK 1/CS,899752
FTG TC125CG 1 1/4 ALUM T W/CVR&GSKT 2/BX 10/CS,899752
FTG TC150CG 1 1/2 ALUM T W/CVR&GSKT 2/BX 10/CS,899752
FTG TC100CG 1IN ALUM T W/CVR&GSKT 5/BX 25/CS,899752
"CAL AM 5120-15 1-1/2"" SOLID STEM KWIKIE PLUG W/LOOP NUT",899929
"STRUT 1/2"" EMT PIPE CLAMP FS-1000-1/2EG B2208PAZN",899877
"BULBRITE FC9T5/830 22W 9"" CIRCLINE 3000K CS/10 52091",899752
JUNO TCLCB1AWHT 1A 120W CURR LIMITER,898859
JUNO TCLCB2AWH 2A 240W CURR LIMITER WHT,898859
IDEAL 35-512 1/4-3/4 STEP DRILL 1/BX 1/CS,900031
C-H 9-3285-9 208V COIL,899778
UNIS RC058EG 5/8-11 X 13/16 X 2 1/8 HEX COUPLING NUTS ZINC,899752
ERC 3000050EG 1/2 BEAM CLAMP 100/BX,899877
"LITH 301 TRIM FOR A L3RR6 4"" OLD WORK IC CAN ",899752
FTG LBSS-75CG 3/4 ALUM EMT LB W/CVR&GSK 10/BX 50/CS,899883
"FLEX FS-5003-5/8EG 5/8"" SQUARE WASHER ELECTRO GALVANIZED FINISH",899859
"FLEX FS-5003-3/4EG 3/4"" SQUARE WASHER ELECTRO GALVANIZED FINISH",899859
"UNIS HHCS025050EG 1/4"" X 1/2"" HEX HEAD CAP SCREW ZINC PLATED",899859
"UNIS HHCS031150EG 5/16"" X 1 1/2"" HEX HEAD CAP SCREW ZINC PLATED",899859
WAG 222-412 2 CONDUCTOR - GREY W/ORANGE LEVERS - 50/BOX,899756
ERC TSGB1624 E-Z-PLTD GUN BRCKT 50/BXP,899877
"UNIS HHCS050250EG#5 1/2""X2-1/2"" GRADE 5 HEX HEAD CAP SCREW ELECTRO GALVANIZED FINSH FULL THREAD",899859
FLEX FS-6518WHT10 WHITE PLASTIC CLOSURE STRIP,899752
DUAL-LITE 0120894 4.8V 600MA 4-CELL AA NICAD REPLACEMENT BATTERY,899752
WIRE XHHW-500-BRN-STR-AL-2500MSTR,899958
WIRE XHHW-500-ORG-STR-AL-2500MSTR,899958
WIRE XHHW-500-YEL-STR-AL-2500MSTR,899958
ASTRALITE ASQ-R-W-16-6 2X8W RECESSED EM UNIT ***DISCONTINUED***,899752
GE F34/CX41/WM/ECO FLU LAMP 30/CASE 66474,898899
ULT 188895.02 M3912-27CK-6EU-F,899752
HUBW S1FRPTJB 4IN JUNTION BOX 1/BX,901165
BOLT BEDXR125-20SB 12 VOLT 50 WATT EM WITH 20 WATT LAMPS 350L PER HEAD :DE2409 :ALT-BOLT BELEDXR125,899878
"FLEX FS-201GR20 1-5/8"" X 3-1/4"" X 20 FT. LONG BACK TO BACK 12 GAUGE SOLID GREEN CHANNEL  **YARD**",899735
WTPN CN-F6MCV,899752
PVC 2-1/2 EPR COND REPAIR KIT EPR40 077960 SK4025 20/BX,899866
CUL 40730J 1/4X1-1/2 ZP FENDER WSHR 100/PK,899850
3/8 FLEX ALUM REDUC-WALL 1000 MSTR,899752
 3/4 FLEX ALUM REDUC-WALL 1000MSTR ABR-12 5603-60-00,899752
 1-IN FLEX ALUM REDUC-WALL 300MSTR ABR-13 5604-80-00,899752
 1-1/4 FLEX ALUM REDUC-WALL   400MSTR ABR-14 5605-40-00,899752
CONDUIT 1/2 FLEX STEEL REDUCED 1 X 1000MSTR BR-11 5502-60-00,899752
 CONDUIT 3/4 FLEX STEEL REDUCED  1 X 1000MSTR,899877
CONDUIT 1-1/4-EF-GRAY LIQ-TITE 1 X 200MSTR EF-14 GRY 6105-40-00,899752
CONDUIT 1-1/2-EF-GRAY LIQ-T 1 X 150MSTR EF-15 GRY 6106-35-00,899929
LEV 80701-W WHT NYL 1-TOGGLE SW PLT 20/BOX 200/CASE,900005
CONDUIT 2-IN-EF-GRAY LIQ-TITE 1 X 100MSTR EF-16 GRY 6107-30-00,899929
GE F32T8/SPX30/ECO2 32W FLU LAMP 36/CASE 68850,898899
GE F96T8/XL/SPX50/2 24/CASE 68871,898899
GE F34/CW/C/WM/ECO 34W FLU LAMP 30/CASE 66649 **USE GE 66474 WHEN OUT**,898899
WIRE THHN-3-PUR-19STR-CU-1000,899956
PHIL F17T8TL835ALTO30PK 30/CASE ITEM #: 28188 :DE2402,898885
PHIL F32T8ADV835EWALTO28W30P 30/CASE ITEM #: 28102 :DE2310,898885
PHIL F32T8TL835PLUSALTO30PK 1/CASE ITEM #: 281675,898885
WIRE THHN-8-BLK-19STR-CU-500R,899956
WIRE THHN-8-BLK-19STR-CU-5000MSTR,899956
WIRE THHN-6-BLK-19STR-CU-500R,899956
WIRE XHHW-8-GRN-STR-CU-5000MSTR,899958
CONDUIT 1-1/2-UA/LA-GRAY LIQ-TITE 1 X 50' LA-15 GRY 6206-24-00,899752
"UNIS HHCS037150EG#5 3/8"" X 1 1/2"" HEX HEAD CAP SCREW ZINC PLATED GRADE 5",899859
L-FSE 313.750P 250V SMALL DIM FUSE 5/BX,899807
CUL 37461 INV MARKING PAINT WHT 12/PK,899903
"FLEX FS-201GR10 1-5/8"" X 3-1/4"", 12 GAUGE BACK-TO-BACK, SOLID 10'L 12 GA. PERMA GREEN DOUBLE CHANNEL  **YARD**",899735
GE 38PAR30H/FL25-120 6/CASE 69166 ***DISCONTINUED***,898899
C-H GHQRSP2030 2P 30A 277VAC CB,900017
FTG LT125 F5504A 1 1/4 IN STR LT CONN 5/BX 50/CS,899864
HUBW SA3082 6.25IN AL CARPET FLANGE 10/BX,901165
EP&C GBI4-12-1N GRD BAR & INSULATOR 1/4 X 4 X 12 BAR  MOUNTING (PULL 2 BRACKETS & 1 BAR),899878
FTG FSLN-11 3IN SEALING LOCKNUT 25/BX 125/CS,899752
"3M 407 3INX1000FT ORG CAUTION TAPE ""BURIED FIBER OPTIC LINE BELOW"" 1/BX 8/CS",898950
COND 1 1/4 FLEX NM LIQ-TITE B 1 X 50' NM-14 GRY 6005-24-00,899866
COND 3/8 FLEX NM LIQ-TITE B  1 X 100' NM-10 6001-30-00,899866
ERC TSRBS1625 16-25IN TLSC BOX SUPP 25/BX,899877
"BRDGPORT 232-SR 1IN RED S/S EMT CON FIRE ALARM CONNECTOR 25/BX, 250/CS",899867
"BRDGPORT 242-SR 1 RED S/S EMT CPLG FIRE ALARM COUPLING 20/BX, 200/CS",899867
C-H GHB3035 35A 3P CKT BRKR,900017
PVC 20' 5-IN-PVC-SCHED-40 CONDUIT 760/LFT  **YARD**,899866
SAT S2413 40W ST19 E26 120V CLEAR 160LM INC LMP 48/CS  02413,898885
"FLEX FS-5810EG 2 HOLE POST BASE 4""W X 6""L ELECTRO-GALVANIZED FINISH",899859
WIRE XHHW-4-ORANGE-CU-STR-2500R,899958
WIRE XHHW-4-YELLOW-CU-STR-2500R,899958
WIRE XHHW-3-BLK-STR-AL,899958
WIRE XHHW-6-GRN-STR-AL-2500MSTR,899958
LITHONIA IBAC120 M100 10' AC SUSPENSION CABLE *1PAIR* (163AMF),898860
CUL 79220J 12X1-1/4 HWH TEK SCREW #5PT ZINC PLATED 100/JR,899859
T&B LR67 2IN LR STYLE COND BODY 2/BX 10/CS,899883
FLEX FS-5814EG POST BASE WITH 4-HOLES ON THE BASE AND  2-HOLES COMING UP FROM THE BASE ELECTRO-GALVANIZED FINISH,899859
"FTG MOLB300CG 3"" MOGUL CONDUIT BODY W/COVER & GASKET /BX 1/CS",899883
L-FSE FLSR006ID 600V IND FUSE 10/BX,899807
PHIL 39PAR20EVPFL25120V151 15/CASE ITEM #: 42520 :DE2310,898885
"STRUT 16"" KNEE BRACE ELECTRO-GALVANIZED FINISH FS-5472-16EG B261-16ZN",899859
"FLEX FS-450GR20 1-5/8""W X 7/8""H X 20'L 12 GAUGE SOLID GREEN CHANNEL",899735
"STRUT 3-1/4"" X 1-5/8"" SLOTTED GALVANIZED CHANNEL 10' LENGTH 12 GA. FS-100SSPG10 B11SH-120GLV  **YARD**",899735
ERC SN37 3/8 CADDY SPEED NUT 100/BX,899877
FTG LR75CG 3/4 ALUM LR W/CVR&GSK 10/BX 50/CS,899752
CPP 3-1/2 COND 30 ELBOW GAL 22323500,899866
WIRE XHHW-600-GRN-STR-AL,899958
WIRE XHHW-4-GRN-STR-AL-5000MSTR,899958
WIRE XHHW-1/0-GRY-STR-AL-2500MSTR,899958
WIRE XHHW-1/0-GRN-STR-AL-2500MSTR,899958
WIRE XHHW-1-RED-STR-AL-2500MSTR,899958
WIRE XHHW-1-BLU-STR-AL-1000MSTR,899958
WIRE XHHW-1-WHT-STR-AL-2500MSTR,899958
WIRE XHHW-300-BLU-STR-AL-1000MSTR,899958
ARL 8081FB PLSTC SIDING BOX: COVER (8081FC) SOLD SEPARATELY,899752
FLEX FS-5020GR 4-HOLE FLAT CORNER FITTING GREEN IN COLOR,899752
FLEX FS-5814SQGR SQUARE POST BASE WITH 4-HOLES ON THE BASE AND  2-HOLES COMING UP FROM THE BASE GREEN FINISH,899752
FLEX FS-5143-45GR 2-HOLE OPEN 45 DEGREE FITTING GREEN FINISH,899752
BOLT BE4803EG COLUMN ATTACHMENT FLANGE-TO-FLANGE CLAMP EG FINISH FOR USE WITH FS-200 CHANNEL ONLY ***PLEASE PULL BOTH SIDES***,899877
STRUT 2-HOLE CLOSED 45 DEGREE FITTING ELECTRO-GALVANIZED FINISH FS-5142-45EG B156ZN,899859
EPCO 20089 12AWG PIGTAIL 50/BX 500/CS,899877
FTG LR100CG 1 ALUM LR W/CVR&GSK 5/BX 25/CS,899752
FTG LR125CG 1-1/4 ALUM LR W/CVR&GSK 2/BX 10/CS,899752
T&B 54109B 1/0AWG PINK 1H COP LUG 10/BX 100/CS,899830
"STRUT 12-1/2"" SHELF BRACKET GALVANIZED FINISH FS-5639-12.5EG B289-12ZN",899859
"STRUT 1-5/8""W X 1-5/8""H X 20 FT. LONG 12 GAUGE SOLID CHANNEL BLACK IN COLOR FS-200BLK20 B22-120FLB",899735
"FLEX FS-500BLK20 1-5/8""W X 13/16""H X 20 FT. LONG 14 GAUGE SOLID CHANNEL BLACK IN COLOR",899735
FLEX FS-5960-2BLK BLACK PLASTIC  END CAP FOR FS-200 CHANNEL SIZE,899752
FLEX FS-5960-5B BLACK PLASTIC END CAP FOR FS-500 CHANNEL SIZE,899752
"FLEX FS-3/8TGC-EG 3/8"" SPRING NUT WITH TOP CONE ",899929
"CAL AM 5120-50 5"" HOLLOW STEM KWIKIE PLUG W/WING NUT",899929
"CAL AM 5120-30 3"" HOLLOW STEM KWIKIE PLUG W/WING NUT",899929
"TCPI 80101435 14W LAMP COMPACT FLUORESCENT LAMP 12/BX, 48/CS",898885
BUR YAZV282NTCFX 4/0AWG 2H LNG LUG,899830
FTG LL75CG 3/4 ALUM LL W/CVR&GSKT 10/BX 50/CS,899752
HUBW CSB420I 20A 120/277V 4WY TGL 10/BX,899985
"STRUT 1-5/8"" X 1-5/8"" X 10' EXTRUDED ALUMINUM SOLID CHANNEL FS-200AL10 B22-120AL",899735
STRUT P4008M10EG BE4204 #10 METRIC SPRING NUT W/SHORT SPRING GALV 100/BX,899877
"CARLON B620K 4/0 CEIL BOX W/ADJ HGR -/BX 75/CS (UP TO 27"")",899756
HUBW HBL8300HRED 20A 125V DUP RCPT 10/BX,899977
"BRDGPORT 4057-DC 3/8 D/C ZINC CPL COMBINATION COUPLING 25/BX, 100/CS",899867
FLEX FS-5103BLK 2-HOLE NINETY DEGREE CORNER FITTING BLACK FINISH,899752
"UNIS HFEW038200EG 3/8"" X 2"" FENDER WASHER",899859
"ITOOL C10K.2 CANNON 10,000 LB. WIRE PULLER, ERGONOMICALLY DESIGNED FOR A 15 LB. WORKING WEIGHT, 4 SPEED DUAL CAPSTAN 10, 20, 50 & 100 FT. PER MINUTE, SNAP-TO-POSITION ALIGNMENT, ADAPTERS FOR HEAVY LOADS FITS INSULATED THROAT CONNECTORS",899752
"ITOOL RJ6K 1-PAIR OF REAL JACKS 6,000 LBS. REEL CAPACITY, WORKS WITH 22"" TO 72"" SPOOLS, LIGHT WEIGHT 32 LBS. EACH, AXLED RIDES ON FOUR 20,000 LBS. RATED BEARINGS, USE ANY SOLID AXLE 1"" - 1-5/8"" OR ANY 2"" - 4"" RIGID PIPE",899877
"ITOOL RT01 ROPE TENDER AXLE-LESS TECHNOLOGY, SPOOL & UN-SPOOL ANY TYPE OF ROPE, CAPABLE OF UN-SPOOLING MC CABLE, WEIGHT LIMIT OF 500 LBS., CAPABLE OF HANDLING 32"" SPOOLS",899752
GRVN 72181-1 3IN DP 4-11/16 J-BOX OUTLET BOX 25/BX,899756
STL-CTY 72171-1/2-3/4RD SQ OLET BOX -/BX 20/CS,899756
STL-CTY 72-C-1RD 4-11/16SQ FLT CVR -/BX 50/CS,899752
C-H H2109B-3 HTR ELEMENT PAK3 *** 1PK = 3 HEATERS ***,899801
FTG LL100CG 1 ALUM LL W/CVR&GSK 5/BX 25/CS,899752
C-H H2107B-3 HTR ELEMENT PAK3 *** 1PK = 3 HEATERS ***,899801
CUL 67758 4IN FOAM CONDUIT PISTON,899894
PHIL PLT42W827A4PALTO 10/CASE ITEM #: 14900 :DE2309 :ALT-PLT42W830A4PALTO 14901,898885
PHIL PLT42W830A4PALTO 10/CASE ITEM #: 14901,898885
LITH ELB1P201NB BACK-UP BATTERY 1.2V 5A 1200 MA,898860
NER AS-2-100 ANTI-SHORT BUSHING 100/CS,899873
ALLIED 1098-Z4 1G 3-1/4D SW BOX 50/BX REPLACES ALLIED 1096-Z4 1G 3-IN-D,899755
FTG LT10090 F5569A 1-IN 90D INS L/T FLEX CONN 5/BX 50/CS,899864
VIKING PS-406-P.25 PLSTC SER STAPLE 25/BX 250/CS,899752
GE GE254MVPS-A FLU BALLAST 10/CASE 67562,898828
STRUT 2 HOLE FLAT PLATE FITTING GALVANIZED FINISH FS-5011EG B138ZN ,899859
HUBW S1R6PTFIT THRU FLOOR RCPT 1/BX,901165
CABLE 12/2 MC AL 277V YEL/GRY 1000R,899951
APP RB350-300 3-1/2X3 RED BUSH 5/CS,899873
WIRE XHHW-750-BRN-STR-AL-2500MSTR,899958
WIRE XHHW-750-YEL-STR-AL-2500MSTR,899958
WIRE XHHW-350-GRY-STR-AL-2500MSTR,899958
WIRE XHHW-6-YEL-7STR-CU-1000R,899958
WIRE XHHW-6-ORG-7STR-CU-1000R,899958
"FLEX FS-5960-2W 1-5/8""W X 1-5/8""H PLASTIC END CAP WHITE IN COLOR FOR USE WITH THE FS-200 CHANNEL",899752
"FLEX FS-5960-5W 1-5/8""W X 13/16""H PLASTIC END CAP WHITE IN COLOR FOR USE WITH THE FS-500 CHANNEL",899752
L-FSE CCMR005.TXP 5A 600V TD FUS 10/BX,899807
GRVN AMR2 4IN SQ 2G ADJ MUD RING,899752
APP BC250-A 2-1/2 AL C MOGUL UNILET 1/CS,899873
PVC 4X4X2 J-BOX W/GSKT JB442 077659 5133705 E989NNJ 15/BX,899758
FLEX FS-1/2NS CHANNEL NUT WITH NO SPRING 100/CS,899859
FLEX FS-5311-5GR U FITTINGS 25/CS,899752
NIC 17206WH 6IN WHT TRIM RING BAFFLE 100/BX,899752
PVC 1 BLU STRIPE ENT 012021 012021 A51BAJ1 12008-750,899866
VIKING PS-403-P.25 PLSTC STAPLE 25/BX 500/CS,899752
"TPZ 673SI 1IN RIGID CONNECTOR RIGID CONDUIT CONNECTOR 25/BX, 100/CS",899863
L-FSE CCMR.500TXP 0.5A 600V TD FUS 10/BX,899807
3M 94118-80025T 118PC FIRST AID KIT /BX 1/CS,899906
CUL 67624 KEVLAR GLOVE 1/PK (MEDIUM),898947
PHIL MHC100UM4KELITE 12/CASE ITEM #: 42988,898885
CUL 67762 6IN FOAM CONDUIT PISTON 1/PK,899894
TORK W400B 7 DAY TIME SWITCH 120VAC 40A 4PST,898873
PVC 3/4 BLU STRIPE ENT 1000FT 012011 012011 A51AGJ1 12007AA-001,899866
ARL AS8 ANTI-SHORT BUSHING 10/BX 1500/CS,901182
SAT S3242 7 1/2W CAND TURN TIP FR 7W CAN 120V FRST INCN LMP 2000/CS  03242,898885
C-H HFD3050 50A 3P CKT BRKR,900017
PVC 6IN REPAIR CPLG SLV REC65 077298 6121635 E948R 5/BX,899866
CUL 600 1/2 STL BEAM CLAMP 50/PK,899850
OZ-G FSC150 1G MALL FSC BOX 5/CS,899873
FTG MOLB400CG 4 IN MOGUL LB W/CVR&GSK /BX 1/CS,899883
FLEX FS-6500GR10 METAL CLOSURE STRIP GREEN FINISH,899752
C-H BKKD250T 250A 480V MN BKR KIT,899778
L-FSE CCMR001.TXP 1A 600V TD FUS 10/BX,899807
"EPCO FTG 6.5"" SOLID PIGTAIL 50/BX 1000/CS 20209 30-3402",899752
"EPCO FTG 8"" STRANDED PIGTAIL 50/BX 1000/CS 20204 30-3284 (1BOX = 50PCS) ",899752
D-B FBD-4-32-UNV-1/4-EB (ICN-4P32-N) 4 LAMP T8 HIGHBAY 12NC: 912400348390,898855
LEV 13661-SNP T8 FLUOR SOCKET 1/BOX 5/CASE,899977
WIRE THHN-3/0-PUR-19STR-CU,899956
CONDUIT 3/4-UA/LA-YELLOW LIQ-TITR 1 X 500 MSTR,899877
FLEX FS-5461-60GR KNEE BRACE,899752
WIRE XHHW-750-ORG-STR-AL-2500MSTR,899958
WIRE XHHW-750-GRY-STR-AL-2500MSTR,899958
WIRE THHN-500-GRY-STR-AL,899956
FTG SC38 3/8 STRAIGHT WITH BITE CLAMP 50/BX 500/CS,899877
"KLEIN 85091-12 CONDUIT REAMER DRILL HEAD WITH #2 SQUARE RECESS BIT, COUNTER PACK (12)",899929
"FCI IH1-UNV-232-T8 ELEC BALLAST """"ELECTRONIC LINEAR FLUORESCENT 25/BX",898828
WIRE XHHW-6-BLK-7STR-CU-1CL WIRE,899958
WIRE THHN-600-BLK-STR-AL,899956
BOLT BEEZRXTEU2RWEM LED EXIT BACKUP SGL/DBL UNIV RED FACE :DE2403 :ALT-BOLT BEEZRXTEU2RGWEM,899878
CUL 51109 1/2-IN WHT WALL PLT SCREW 100/PK,899850
CUL 52248J 6-32X3 RH SLT/PHIL M/S 100/PK,899850
WIRE THHN-2/0-GRY-19STR-CU-1000MSTR,899956
BUR YAZV102TC14 14-10AWG 2H LNG LUG,899830
WTPN 60990BRD1000 #16-2/C SHIELDED PLENUM RATED FPLP FIRE ALARM CABLE WITH A RED JACKET,899752
"BRDGPORT 530-DC 1/2 SCR-IN FLEXCPLG FLEXIBLE CONDUIT COUPLING 50/BX, 500/CS",899867
GE F28T8SXLSPX50ECO 28W FLRLMP 36/CASE 93904   **WM ***,898899
C-H CCV2200 2P 200A 240V CB,900017
ERC SLC2L1000SP 1000FT SP SPOOL,899877
FLEX FS-5209EG Z FITTINGS 10/CS,899752
ARL FB442 13.4 CU INCH FAN BOX /BX 25/CS,899752
CABLE 10/2 MC AL 277V BRN/GRY 1000R,899951
COL CS8-232-4EU 8FT 4L STRP,899752
WIRE XHHW-350-RED-STR-AL-2500MSTR,899958
WIRE XHHW-350-BLU-STR-AL-2500MSTR,899958
WIRE XHHW-350-WHT-STR-AL-2500MSTR,899958
L-FSE LEBAASK 30A 600V FUS HLDR 1/BX,899807
WIRE XHHW-400-GRY-STR-AL-2500MSTR,899958
LUT LRF2-OKLB-P-WH 1WY WHT OCC SNSR,898872
"TCPI LED5E12B1127KF 5W LAMP LED LAMP 12/BX, 48/CS",898890
WIRE BARE-SD-2-7STR CU MSTR,899958
WIRE XHHW-350-BRN-STR-AL-2500MSTR,899958
WIRE XHHW-350-ORG-STR-AL-2500MSTR,899958
WIRE XHHW-350-YEL-STR-AL-2500MSTR,899958
IDEAL 36-364 6-3/8 CRBD TIPPED SAW 1/BX 1/CS,900033
WIRE XHHW-1/0-RED-STR-AL-2500MSTR,899958
WIRE XHHW-1/0-BLU-STR-AL-2500MSTR,899958
WIRE XHHW-1/0-WHT-STR-AL-2500MSTR,899958
WIRE XHHW-4/0-RED-STR-AL-2500MSTR,899958
WIRE XHHW-4/0-BLU-STR-AL-1000MSTR,899958
WIRE XHHW-4/0-WHT-STR-AL-2500MSTR,899958
C-H DH325NGK 400A 240V SFTY SW,899785
GE 29A/W/H-2PK-120 PARS&HAL 6/CASE 63002 (2 LAMPS PER PK PACK) ***DISCONTINUED*** REPLACED BY .484152 AND .300992,898891
GE LEDPAR30 LED12DP30R830/25-120 6/CASE 94172 DELISTED **KEEP UNTIL 2020 FOR WARRANTY** ,898885
SAT S2419 60W A19 VINT 120V CLR INC LMP 48/CS  02419,898891
SAT 92/403 INTER TO CAND REDUCR,898885
CABLE MC-AL-12/2-ISO-SOL-CU-1000 MSTR,899951
TUBEGUARD REF/TG/F32T8C 4'(46 1/16) 24/BX,899752
3M 94601-80030 DAY/NT TM SFTY VST,899906
TUBEGUARD REF/TG/F25T8C 25W 3' T8 (34 1/16) 24/BX,899752
TUBEGUARD REF/TG/F60T8C 60W 5' T8 (58 1/16) 24/BX,899752
GE F32T8SXLSPX50ECO FLUOR LAMP 36/CASE 73096   **WM 2012 OBSOLETE LEGISLATION ***DISCONTINUED*** SUGGESTED REPLACEMENT .154005,898899
L-FSE 326008P 250V SMALL DIM FUSE 5/BX,899807
L-FSE 326010P 250V SMALL DIM FUSE 5/BX,899807
L-FSE CCMR004.TXP 4A 600V TD FUS 10/BX *NOT AVAILABLE UNTIL 4/23,899807
L-FSE CCMR007.TXP 7A 600V TD FUS 10/BX,899807
TUBEGUARD TG/F60T8C (ALSO FOR FO40) (58 7/16) 24/BX,899752
TUBEGUARD TG/F96T12C 8FT T12 (94 7/16) 24/BX,899752
TUBEGUARD TG/F72T12 CLEAR (70 7/16) 24/BX,899752
ERC SLK2C200 1.5X2 LOCKING DEV *200 LOCKS PER BOX*,899877
GE GEP320MLTAA4-5 277V HID BAL 3/CASE 67345,898887
GE GEM175ML5AA3-5 120/208/240/277/480V BALLAST 1/CASE 63078,898828
LUT PJ2-2BRL-GWH-L01 WIRELESS CNTL REMOTE/WRLSS PICO SW PROGRAMABLE,898872
CUL 37509 16-OZ RUST BREAKER 12/PK,899850
FLEX FP-2950 E/G TROLLEY,899869
RMI 84000 ELECTRICAL SAFETY 1/BX,899752
WIRE THHN-3-GRY-19STR-CU-1000MSTR,899956
WIRE XHHW-1-GRY-STR-AL-1000MSTR,899958
