PRODUCT_ID,description,buy_line_id,price_line_id,keywords,product_family_id,product_family_description,COMMODITY_LEAF,class_distribution
34896,LEV 13556-W VERT FLR LMPHLDR 1/BOX 10/CASE,LEVITON,LEVITON,"INTERIOR
LEV13556W 13556-W 078477 06092 FLR
LMPHLDR VERT
WEBREADY",,,898808,0.154%
181037,LEV 13661-SNP T8 FLUOR SOCKET 1/BOX 5/CASE,LEVITON,LEVITON,"INTERIOR TOMBSTONE
WEBREADY",,,898808,0.154%
196873,"HM LIGHTING LH0365 T8 REFRIGERATION SOCKET W/ 6"" LEADS",HMDIST,HMDIST,"INTERIOR
LR-97
WEBREADY",,,898808,0.154%
196875,"HM LIGHTING LH0362 T8 ANTHONY SOCKET W/ 9"" LEADS",HMDIST,HMDIST,"INTERIOR
WEBREADY",,,898808,0.154%
62002,LEV 26725-419 SCR-DOWN CFL LMPHLDR 1/BOX 5/CASE,LEVITON,LEVITON,"CFL LAMPHOLDER
WEBREADY OSU",,,898809,0.094%
77018,LEV 26725-403 SNAP-IN CFL LMPHLDR 1/BOX 5/CASE,LEVITON,LEVITON,,,,898809,0.094%
94352,LEV 26725-423 SNAPIN CFL LMPHLDR 1/BOX 500/CASE,NONRET,LEVITON,,,,898809,0.094%
315047,SAT 80/1605 2G11 4-PIN LAMPHOLDER 500/CS  81605,SATCO,SATCO,,,,898809,0.094%
342481,LEV 26725-405 WH FL CMPCT SNAP-IN 1/BOX 5/CASE,LEVITON,LEVITON,,,,898809,0.094%
366299,LEV 26725-212 WH FL VERTI SCR MNT 1/BOX 5/CASE,LEVITON,LEVITON,"
",,,898809,0.094%
411395,SAT 80/2108 32W 4-PIN CFL LMP SKT 250/CS  82108,SATCO,SATCO,,,,898809,0.094%
1592,LEV 26725-413 SCR-DOWN CFL LMPHLDR 1/BOX 5/CASE,LEVITON,LEVITON,"LEV26725413 26725-413 078477 85050
CFL LMP SCR-DOWN
WEBREADY",,,898809,0.094%
21239,"BUHL 338866-21 MR16 SOCKET W/24"" LEAD",BUHL,BUHL,"BEI33886621 BUHL ELECT 338866-21
LEAD MR16 SOCKET W/24""

STK BUHL
WEBREADY",,,898809,0.094%
196874,"EMF LOEB-LR93 (LH0106) BIPIN U-BACK SW PALNUT W/ 6"" LEADS & MOUNTING SCREW",HMDIST,HMDIST,"INTERIOR
LR-93
LH0106
WEBREADY",,,898809,0.094%
197965,LEV 26725-402 SNAPIN CFL LMPHLDR 1/BOX 5/CASE,LEVITON,LEVITON,WEBREADY,,,898809,0.094%
16518,LEV 8681 MOG TO MED LMPHLDR ADAPTER 10/BOX 100/CASE,LEVITON,LEVITON,"LEV8681 LEV 078477 26780


STK LEVITON
WEBREADY",,,898810,0.223%
18351,LEV 49816-C PORC PULLCHN LMPHLDR 1/BOX 50/CASE,LEVITON,LEVITON,"LEV49816C LEV 078477 32290

WEBREADY OSU
STK LEVITON
WEBREADY",,,898810,0.223%
9128,LEV 10045 PORC KEYLESS MED LAMPHLDR 10/BOX 100/CASE,LEVITON,LEVITON,"LEV10045 LEV 078477 30040


STK LEVITON
WEBREADY",,,898810,0.223%
19193,LEV 49875 PORC KEYLESS LAMPHOLDER 1/BOX 50/CASE,LEVITON,LEVITON,"LEV49875 LEV 078477 32300


STK LEVITON
WEBREADY",JUSTICE*ALL,JUSTICE STORE PLANNING,898810,0.223%
30151,LEV 2005 PORC MED LAMPHOLDER EXT 10/BOX 100/CASE *FFA*,LEVITON,LEVITON,"LEV2005 2005 078477 18590
LAMPHOLDER MED PORC

STK LEVITON
WEBREADY",,,898810,0.223%
51774,LEV 8647-100 MOG-MOG SOCKET EXT 1/BOX 6/CASE,LEVITON,LEVITON,,,,898810,0.223%
130014,ALLIED LH-12P 2T PULL CORD LMPHLDR 48/BX REPLACED BY S759W-CD-SP,NONRET,ALLIEDM,"ALM LH-2P
S759W-CD-SP
WEBREADY",,,898810,0.223%
146240,ALLIED LH-11P 4TERM KYLS LAMPHOLDER 48/BX,NONRET,ALLIEDM,"LH-1P ALMLH1P
KEYLESS
S1174W-SP

STK ALLIEDM
WEBREADY",,,898810,0.223%
183649,SAT 90/1519 CANDELABRA TO MED ADAPTER 500/CS  91519,SATCO,SATCO,"
",,,898810,0.223%
242366,R-DOT S500E-RL SILVER LAMPHOLDER,T&B,T&B,"*Non-Returnable per vendor*
R-DOT DL-80
WEBREADY",,,898810,0.223%
247930,SAT 92/323 EDISON 1 EXTENTION 500/CS  92323,SATCO,SATCO,,,,898810,0.223%
295146,SAT 80-2360 E11 TO E26 ADAPTOR,SATCO,SATCO,,,,898810,0.223%
298002,LEV 2052-13 LAMPHOLDER 10/BOX 100/CASE,LEVITON,LEVITON,,,,898810,0.223%
314479,LEV 9852-LED PULL CHAIN LED 1/BOX 18/CASE **REPLACEMENT FOR LEV 9862-PCH**,LEVITON,LEVITON,WEBREADY,,,898810,0.223%
328654,CWD 732-3-BU STD ATTACHON SKT /BX 10/CS,CWD,CWD,,,,898810,0.223%
373747,SAT 50/919 LIGHTING GLOBE 32/CS  50919,SATCO,SATCO,,,,898810,0.223%
399118,SAT 80/1873 1000W 250V G8 HAL SKT 250/CS  81873,SATCO,SATCO,,,,898810,0.223%
422884,CWD S1174W-SP KEYLESS LAMPHLDR 40/BX 1920/PALLET,CWD,CWD,"
LH11P LH11-P

WEBREADY",,,898810,0.223%
422889,CWD S759W-CD-SP LAMPHOLDER 100/BX 1000/CS,CWD,CWD,"LH12P LH12-P


WEBREADY",,,898810,0.223%
11094,LEV 70046 LAMPHOLDER 1/BOX 5/CASE,LEVITON,LEVITON,"EXTERIOR

LEV70046 LEVITON MF 078477 10611
4KV BASE LEADS,SCREW LESS MEDIUM
MOUNT. PULSE RATED SOCKET
STK LEVITON
WEBREADY",,,898810,0.223%
27286,NIC 17204 120V SOCKET STRING SOCKET STRING (AFL 108SS1) 200/BX,NICOR,NICOR,"AFL108SS1 AF LIGHTIN (10878P)
ADAPTER SOCKET STRING
-AFL 108SS1 SOCKET STRING ADAPTER
STK NICOR
WEBREADY",,,898810,0.223%
30143,LEV 2004 PORC 2PC MED LAMPHLDR EXT 10/BOX 100/CASE,LEVITON,LEVITON,"LEV2004 LEV 078477 18570


STK LEVITON
WEBREADY",,,898810,0.223%
75404,LEV 8829-CW4 PLSTC KEYLESS LMPHLDR 1/BOX 50/CASE,LEVITON,LEVITON,"078477 10318
WEBREADY",,,898810,0.223%
92587,R-DOT S-12 3/4NPT TAPPED HL RND 1/BX 50/CS,NONRET,T&B,,,,898810,0.223%
190723,SAT 92/403 INTER TO CAND REDUCR,SATCO,SATCO,WEBREADY,,,898810,0.223%
198504,LEV 8746-3 LAMPHOLDER 1/BOX 50/CASE,LEVITON,LEVITON,"EXTERIOR
HBL SK-1 SOCKET
WEBREADY",,,898810,0.223%
19131,BLT CV90112 75W 277V-12V XFRMR CS/100,BLTECH,BLTECH,"BLTCV90112 B & L TECH 277/12V 75W
TRANS

STK BLTECH
WEBREADY",,,898811,0.034%
18454,BLT CV90012 150W 120V-12V XFRMR CS/50,BLTECH,BLTECH,"BLTCV90012 B & L TECH 12V 150W


STK BLTECH
WEBREADY",,,898811,0.034%
18383,BLT CV90001 75W 120V-12V XFMR CS/100,BLTECH,BLTECH,"BLTCV90001 B & L TECH 12V 75W B&L
TFMR

STK BLTECH
WEBREADY",,,898811,0.034%
18524,BLT CV-90021 200W 120V-12V XFMR CS/50,BLTECH,BLTECH,"BLTCV90021 B & L TECH


STK BLTECH
WEBREADY",,,898811,0.034%
6777,LITH LQMSW3R120/277ELNM6 EXIT LT,LITHONIA,LITHONIA,"FXEXIT ALLEMERGENCY
LITLQMSW3R120277EL LED EXIT S
120/277V BACK BATTERY CALCIUM
STK LITHONIA
FACE LEAD SIGN-RED SINGLE/DOUBLE
STENCIL UP WITH
WEBREADY",,,898812,0.094%
23798,LITH LQMSW3R120/277M6 EXIT LIGHT LED EXIT AC ONLY #388086,LITHONIA,LITHONIA,"FXEXIT ALLEMERGENCY
LITLQMSW3R120277 LITHONIA L AC
EXIT
STK LITHONIA
WEBREADY",,,898812,0.094%
108173,CPL LPX6,NONRET,COOPLTG,,,,898812,0.094%
189042,LITH LHQMLEDRHOSDM6 EXIT SGN,LITHONIA,LITHONIA,,,,898812,0.094%
472200,CPL CHX71AR 120/277V STL EXIT SIGN,COOPLTG,COOPLTG,,,,898812,0.094%
11185,LITH LRP1RC120/277ELN PNL PANEL ONLY,LITHONIA,LITHONIA,"FXEXIT ALLEMERGENCY
LITLRP1RC120277ELN EDGE LIT L
LITHONIA LRP-1RC-120/277-ELN
STK LITHONIA
WEBREADY",,,898812,0.094%
75081,BOLT BEELXTEU2RMAEM EDGE-LIT LED EXIT BAT BACK DBL FACE CLR W/RED LETTERS,BOLTLTG,BOLT,"BEST ELXTEU2RCAEM old (C-clear)
new change to 2RMAEM (M-mylar)
ELXTEU2RMAEM AEPEXIT
WEBREADY",,,898812,0.094%
184734,BOLT BEEZRXTEU2RWEM LED EXIT BACKUP SGL/DBL UNIV RED FACE :DE2403 :ALT-BOLT BEEZRXTEU2RGWEM,DISCTNUD,BOLT,"FXEXIT ALLEMERGENCY LEDEXIT
BESTEZXTEU2RWEM BESTEZRXTEU2RWEM
EZRXTEU2RWEM
WEBREADY",TBS*MAIN,THE BODY SHOP,898812,0.094%
233818,DUAL-LITE EVCURWDI-0-WM LED EXIT SIGN WITH BATTERY COMPARTMENT,HUBLTGWM,HUBLTG,"EM
FXEXIT
LXURWEI-WMV11
WEBREADY",,,898812,0.094%
233822,DUAL-LITE CEWSRE-WM WET LOCATION LED EXIT SIGN,HUBLTGWM,HUBLTG,"EM
FXEXIT
LN4XRWEI-W
WEBREADY",,,898812,0.094%
308209,JESSUP PM100 7072-B RED DOUBLE SIDED INDOOR/OUTDOOR & WET LOCATION 100FT VIEWING DISTANCE INCL. HARDWARE & BRACKET,NONRET,JESSUP,"FXEXIT
WEBREADY",,,898812,0.094%
172376,HUB CMPS CCRRC EXIT/EMG LT,HUBLTG,HUBLTG,,,,898813,0.043%
219912,LITH LHQMLEDRHOM6 1.5W LED EXIT COMBO,LITHONIA,LITHONIA,"FXCOMBO ALLEMERGENCY
LITLHQMSW3R120277H LITHONIA L
LEDEXIT

STK LITHONIA
WEBREADY",,,898813,0.043%
273631,LITH LHQM LED G HO R0 M6,LITHONIA,LITHONIA,,,,898813,0.043%
194953,DUAL-LITE EVCURWD4I-WM CMBO EXIT&EMG LT 93060027,HUBLTGWM,HUBLTG,WEBREADY,,,898813,0.043%
304674,EXS VLED-1-WH-EL90 EXIT SIGN COMBO EXIT / EMERGENCY,EXITRON,EXITRON,"procure 
WEBREADY",,,898813,0.043%
211549,LITH WLTULED EMG LT&LMP HEAD,LITHONIA,LITHONIA,,,,898815,0.180%
268001,CPL CU2-LED LT FX,NONRET,COOPLTG,,,,898815,0.180%
338906,LITHONIA EU2C M6 EMERGENCY UNIT,LITHONIA,LITHONIA,,,,898815,0.180%
342431,LITH ELM4L 640LUM 2LAMP SPOT PATTERN WHTE 120/277 NICAD 19-30406-0,LITHONIA,LITHONIA,"FXEMERGENCY ALLEMERGENCY
WEBREADY",,,898815,0.180%
364230,LITH ELM6L UVOLT LTP SDRT ELM6L LED EM LIGHT 1100LUM ADJ OPTICS 120-347VA LITHIUM IRON PHOSPATE BATTERY SELF DIAGNOSTIC *263LTE,LITHONIA,LITHONIA,"WEBREADY OSU
FXEMERGENCY ALLEMERGENCY",,,898815,0.180%
386534,LLTG ELM2L-M12 2.4W LT FX,LITHONIA,LITHONIA,"WEBREADY
FXEMERGENCY ALLEMERGENCY

BOLT BELEDR-1W WHITE 2 HEAD LED
EMERGENCY LIGHT 
(NOT REMOTE CAPABLE)",,,898815,0.180%
391827,"LITH EU2L M12, 2-HEAD LED EM",LITHONIA,LITHONIA,,,,898815,0.180%
9453,LITH ELR2 EMERGENCY RECESS LIGHT,LITHONIA,LITHONIA,"LITELR2 ELR2 784231 00646 EMERGENCY
LIG LITH RECESS
WEBREADY",,,898815,0.180%
112763,EXITRONIX LL50H 2-HD EMERGENCY LIGHT,EXITRON,EXITRON,"


STK EXITRON
WEBREADY",,,898815,0.180%
140115,BOLT BELEDR5HO/W WHITE LED 2HEAD EMERGENCY W REMOTE CAPACITY 120/277V (USES RHLED1-WP-R1 HEADS),BOLTLTG,BOLT,"FXEMERGENCY
STK BESTLTG
WEBREADY",,,898815,0.180%
141509,BOLT BELEDR-1B BLACK 2 HEAD LED EMERGENCY LIGHT,BOLTLTG,BOLT,"

LEDR-1B
WEBREADY",,,898815,0.180%
151732,ASTRALITE ASQ-R-W-16-6 2X8W RECESSED EM UNIT ***DISCONTINUED***,ASTRALT,ASTRALT,"
WEBREADY",,,898815,0.180%
152715,BOLT BEDXR125-20SB 12 VOLT 50 WATT EM WITH 20 WATT LAMPS 350L PER HEAD :DE2409 :ALT-BOLT BELEDXR125,DISCTNUD,BOLT,"DXR125-20SB
WEBREADY",,,898815,0.180%
213879,BOLT BELEDR-1-HL-B,NONRET,BOLT,"

LEDR-1-HL-B
WEBREADY",,,898815,0.180%
248950,BARRON TR-WB-BR EMER U TRITON W/ BATTERY BACKUP **DELISTED** ,EXITRON,EXITRON,"EXT
procure
WEBREADY",,,898815,0.180%
294333,DUAL-LITE DYN6I-WM  LED OUTDOOR RATED EMEREGENCY FIXTURE,HUBLTGWM,HUBLTG,WEBREADY,,,898815,0.180%
299586,DUAL-LITE EVHC6IDP-WM HIGH LUMEN EZ PLUG LED EMERG LIGHT W/ HEADS,HUBLTGWM,HUBLTG,"EVHC6I-WM EM FXLED LEDEMERG
LITH IND654WSEL LMW40I-FX
LZW2DI TBW50I EVHC6IDWM
EVHC6I-WM
EM
FXLED LEDEMERG
LITH IND654WSEL
LMW40I-FX
LZW2DI
TBW50I
WEBREADY",,,898815,0.180%
299597,DUAL-LITE EVHC6IDP-0-WM HIGH LUMEN EZ PLUG LED EMERG LIGHT W/ NO HEADS,HUBLTGWM,HUBLTG,"EM EVHC6I-0-WM EWL-27
FXEMERGENCY EVHC6ID
EM
EVHC6I-0-WM
EWL-27
FXEMERGENCY
WEBREADY",,,898815,0.180%
299604,DUAL-LITE EVHCEZP BACK BOX FOR EVHC6IDP-WM OR EVHC6IDP-0-WM,HUBLTGWM,HUBLTG,"EM
WEBREADY",,,898815,0.180%
306414,CPL SURL SELMREC60R4SD LED EMEREGENCY LIGHT ,COOPLTG,COOPLTG,"FXEMERGENCY ALLEMERGENCY
CPLSURRLM1 SUR 662400 10831 6V DBL
EMERG HD LT RLM-1 SURL
STK COOPLTG
WEBREADY",,,898815,0.180%
343366,LITH ELM4LB 640LUM 2LAMP SPOT PATTERN BLACK 120/277 NICAD 19-30406-0,LITHONIA,LITHONIA,"FXEMERGENCY ALLEMERGENCY
WEBREADY",,,898815,0.180%
21856,LITH ELAR2LRIS120/277ELN EXIT RGH-IN,LITHONIA,LITHONIA,"LITELAR2LRIS120277 ELAR2LRIS-
784231 08067 ELAR2LRIS120277ELN
NONRETURNABLE",,,898816,0.034%
367148,LITH ERE GY SGL WP SQ M12,LITHONIA,LITHONIA,"ELALEDWPM12
REMOTE 
EMREMOTE
RHLED1
BOLT BERHLED1-PWP-MV
WEBREADY",,,898816,0.034%
233998,DUAL-LITE EVODW DBL WHT LED REMOTE HEAD,HUBLTGWM,HUBLTG,"EM
FXLED
LEDEMERGENCY
WEBREADY",,,898816,0.034%
427249,LITH ERE W SGL RD SINGLE HEAD EM REMOTE ,LITHONIA,LITHONIA,"ACCEMERGENCY ALLEMERGENCY
LHQM
WEBREADY",,,898816,0.034%
21917,LITH PSQ500QD MVOLT M12 FIELD U INVRT LUM,LITHONIA,LITHONIA,"ACCEMERGENCY ALLEMERGENCY
LITPSQ500 LITHONIA L 2-26W CFL DBX
F/ INVERTER/CHRGR
STK LITHONIA
WEBREADY",,,898818,0.171%
47262,DUAL UFO-6W FLUOR PACK  ,HUBLTG,HUBLTG,,,,898818,0.171%
121152,LITH PS1400QD MVOLT M8 FLUOR BATT PACK,LITHONIA,LITHONIA,"


STK LITHONIA
WEBREADY",,,898818,0.171%
160074,COOPER SURELITES EBP1400 EM BALLAST,COOPLTG,COOPLTG,FBP240H,,,898818,0.171%
342788,DUAL PLD10M LED BATTERY PACK,HUBLTG,HUBLTG,,,,898818,0.171%
22490,BOLT BEBL645 SUA 1003 6V 4.5A BATTERY 0120255 ELB06042,BOLTLTG,BOLT,"EM
ACCEMERGENCY ALLEMERGENCY SUA1003
EAGLE PICH 4.5 6 AMP
BATTERY REPLC VOLT
LSI 415099
WEBREADY SMCPARTS",,,898818,0.171%
22537,BOLT BEBL6100 6V 10AH REPLC BATT SUA 1007 ELB0610 10/CS,BOLTLTG,BOLT,"ACCEMERGENCY ALLEMERGENCY SUA1007
EAGLE PICH 6 AMP BATT HR
REPLC VOLT
STK BESTLTG
WEBREADY",,,898818,0.171%
22624,SUA 1020 12 VOLT 7.2 AMP HR BATT PS1270F1 INV-03-002,SREWAY,SREWAY,"EM
SUA1020 EAGLE PICH 12 7.2 AMP BATT
HR REPLC VOLT
POWERSONIC PS1270F1
WEBREADY",,,898818,0.171%
22518,BOLT BEBL6V70A 6V 7AH BATTERY DUAL 0120824 SUA 1005,BOLTLTG,BOLT,"EM
ACCEMERGENCY ALLEMERGENCY SUA1005
BL6V70A
PICHER
STK BESTLTG
WEBREADY",,,898818,0.171%
78565,IOTA I-320 TBTS M20 T-LED T5 T8 LFL EMERG. BATTERY,IOTA,IOTA,"LEDBATTERY 
LEDT8
LEDBAT
WEBREADY",,,898818,0.171%
86603,SUA 12V 5.0AH F1 RECHRGBL BATTERY PS1250F1 / 686-7253,SREWAY,SREWAY,"EM
WEBREADY",,,898818,0.171%
96377,DUAL-LITE 0120800 6V 12A BATTERY ELB0612A,HUBLTGWM,HUBLTG,"EM
BARRON LIGHTING 10010022
LITH ELB0612A
BEST BL6120
ACCEMERGENCY
ALLEMERGENCY
WEBREADY OSU
6V12A
6V12AH",,,898818,0.171%
151360,DUAL-LITE 0120894 4.8V 600MA 4-CELL AA NICAD REPLACEMENT BATTERY,HUBLTG,HUBLTG,"EM
WEBREADY",,,898818,0.171%
171005,LITH ELB1P201NB BACK-UP BATTERY 1.2V 5A 1200 MA,LITHONIA,LITHONIA,"EM
WEBREADY OSU",,,898818,0.171%
200743,BOLT BEBAT-3.6V-900 3.6V 900MAH BATTERY FOR LEDR1,BOLTLTG,BOLT,"EM
ACCEMERGENCY
BAT-3.6V-900
WEBREADY",,,898818,0.171%
207472,BOLT BEBAT-9.6V-900-L 9.6V 900MAH BATTERY FOR LEDCXTE-RC,BOLTLTG,BOLT,"
WEBREADY
BAT-9.6V-900-L",,,898818,0.171%
224216,BOLT BEBAT-1.2V-1000MAH REPLACEMENT BATTERY,BOLTLTG,BOLT,"EM
ACCEMERGENCY
BAT-1.2V-1000MAH
WEBREADY",,,898818,0.171%
240839,DUAL-LITE 9304679801 BATTERY REPLACEMENT FOR EVHC6I-WM &EVHC6I-0 EM LIGHTS,HUBLTGWM,HUBLTG,"EM
WEBREADY",,,898818,0.171%
250023,OHLS 57000R1L 6V 7000MAH 5CELL NICAD BATTERY,FIXTLENS,FIXTLENS,"SURELITE P4C72 02663SP 
WEBREADY",,,898818,0.171%
291976,DUAL-LITE 9304140201 REPLACEMENT BATTERY FOR EVC EXIT UNITS,HUBLTGWM,HUBLTG,WEBREADY,,,898818,0.171%
99276,GE F25T8/SPX41/ECO/CVG FLUOR LAMP 24/CASE   15991 **DELISTED-SUGGESTED SUB IS GE 15984**,GELAMP,GELAMP,"INTERIOR
15991
WEBREADY
9.35",,,898819,0.009%
293685,IOTA ILB-CP-10-A 10W EMERGENCY LED DRIVER CONSTANT POWER FIELD INSTALLED,IOTA,IOTA,"LEDT8
LEDDRIVER
WEBREADY",,,898823,0.009%
1496,BODINE B50 ELC EMERGENCY BALLAST,BODINE,BODINE,"ACCEMERGENCY ALLEMERGENCY BODB50
BODINE BALLAST EMERGENCY
WEBREADY",,,898824,0.051%
22256,BODINE GTD20A,BODINE,BODINE,"ACCEMERGENCY ALLEMERGENCY
BODGTD20A BODINE

STK BODINE
WEBREADY",,,898824,0.051%
7312,BODINE GTDM GENERATOR TRANSFER DEVICE,BODINE,BODINE,"ACCEMERGENCY ALLEMERGENCY BODGTD
BODINE DEVICE GENERATOR
TRANSFER
WEBREADY",,,898824,0.051%
14175,BODINE B100ELC (END OF LIFE COMPATIBLE),BODINE,BODINE,"ACCEMERGENCY ALLEMERGENCY BODB100
BODINE BALLAST#B100

STK BODINE
WEBREADY",,,898824,0.051%
128621,"BODINE B94CGU EM.BALL DAMP LOCATION RUNS ONE 13-42W 4PIN TWIN,QUAD OR TRIPLE TUBE CFL. LOW-MERC. LAMP COMPATIBLE",BODINE,BODINE,"B94C BDL94C


STK BODINE
WEBREADY",,,898824,0.051%
266792,BOLT BEBLEDEM-CP-800 LED BALLAST CONSTANT POWER ***DISCONTINUED*** *REPLACED BY .489366*,BOLTLTG,BOLT,"BLEDEM-CP-800
WEBREADY
EMBALLAST
EMBATTERY ",,,898824,0.051%
15362,ADV REZ2S32SC35I ELE DIMMING BALLAST (2) F32T8 120V,ADVANCE,ADVANCE,"ADVREZ2S32SC ADVANCE TR 120V
BALLAST DIMMING MARK POWERLINE
REZ2S32-SC X",,,898828,0.729%
6245,GE GE332MAX-H/ULTRA ELECTR BLST 10/CASE 78619  *DELISTED* SUGGESTED REPLACEMENT GE332MAXPH/ULTRA,GELAMP,GELAMP,"INTERIOR
GELGE332MAXHULTRA GENERAL EL 043168
49776 71714 74461
WEBREADY
12.44
*DELISTED* SUGGESTED REPLACEMENT
GE332MAXPH/ULTRA
13.68",,,898828,0.729%
6520,GE GE432MAXPN/ULTRA ELECT BLST 10/CASE   78627 OLD 71727 **TEMP SUB .134991**,GELAMP,GELAMP,"INTERIOR
GELGE432MAXNULTRA GENERAL EL 043168
49774 (.87) BALLAST
GE-432-MAX-N/ULTRA NORMAL POWER UNV
STK GELAMP
WEBREADY
ADV ICN4P32N35I
11.44
12.58",,,898828,0.729%
7032,GE GE132MAX-N/ULTRA F32T8 FLUOR BA 10/CASE 72259 ***DISCONTINUED** :DE0924,DISCTNUD,GELAMP,"GELGE132MAXNULTRA GENERAL EL 043168
49771 (.87) BALLAST
GE-132MAX-N/ULTRA NORMAL POWER UNV
STK GELAMP
WEBREADY
10.36
11.4
IOP1P32N35I",,,898828,0.729%
15779,"FCI WH2-120-C 35W .33A 120V BA """"FLUORESCENT ELECTRONIC BALLAST 50/BX",FULHAM,FULHAM,"INTERIOR

FULWH2120C FULHAM BALLAST WH2-120-C


STK FULHAM
WEBREADY",,,898828,0.729%
11552,ADV IZT4S3235M ELE DIMMING BALLAST (4) F32T8 120-277 :DE2402: ALT-IZT4PSP32G35M,DISCTNUD,ADVANCE,"INTERIOR

ADVIZT4S3235M IZT4S3235M 781087
03193 120-277V BA DIM
WEBREADY",,,898828,0.729%
14945,GE GE232MAXPN/ULTRA ELECT BLST 10/CASE  72266 OLD 49772 **TEMP SUB USE .85481**,GELAMP,GELAMP,"INTERIOR WENDYS
GELGE232MAXNULTRA OLD DCI: 043168
49772 (.87) BALLAST
GE-232-MAX-N/ULTRA NORMAL POWER
STK GELAMP
WEBREADY
8.64
9.5",,,898828,0.729%
17302,ADV LC1420CI MAG BALLAST (1) F20T12 PH 120V,NONRET,ADVANCE,"ADVLC1420CI ADV 781087 10130 1-13
20W LC-14-20-C THRU
WEBREADY",,,898828,0.729%
17806,ADV ICN4S5490C2LSG35M ELE BALLAST (4) F54T5HO 120-277V 6/CS,ADVWM,ADVANCE,"INTERIOR
GE GE454MVPS90-E-S 4L T5 BALLAST
8/CASE 94131
ADVICN4S5490C2LSG3 ICN4S5490C
781087 04783 120-277V
ICN4S5490C2LSG35M
F54T5HO BALLAST
29.59
STK ADVANCE
WEBREADY",,,898828,0.729%
26620,"FCI WH3-120-C 64W .56A 120V BA """"FLUORESCENT ELECTRONIC BALLAST 60/BX",FULHAM,FULHAM,FULWH3120C FULHAM BALLAST,,,898828,0.729%
27415,ADV LC13TPI MAG BALLAST (1) 13W COMPACT(2-PIN) 120V DELISTED REPLACED BY LC13TPM2,DISCTNUD,ADVANCE,"ADVLC13TPI LC13TPI 781087 04818
120V 13W BAL FLUOR

STK ADVANCE",,,898828,0.729%
